date,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,uv_index_max,precipitation_sum,precipitation_probability_max,shortwave_radiation_sum,wind_speed_10m_max
2025-03-10 05:00:00+00:00,11.767,8.467,43641.14,13930.374,6.35,5.6000004,58.0,10.36,11.770403
2025-03-11 05:00:00+00:00,10.917,8.467,43636.848,8117.0024,6.3,30.900002,80.0,7.6,11.440979
2025-03-12 05:00:00+00:00,11.267,7.667,43632.56,24080.451,6.25,0.90000004,50.0,10.63,11.440978
2025-03-13 05:00:00+00:00,12.167,8.467,43628.27,14959.445,7.95,6.5999994,55.0,10.95,12.224107
2025-03-14 05:00:00+00:00,11.817,8.417,43623.992,10103.28,8.6,16.8,90.0,9.53,10.24578
2025-03-15 05:00:00+00:00,11.367,8.417,43619.727,6230.5776,8.15,5.299999,93.0,11.14,9.47012
2025-03-16 05:00:00+00:00,11.217,8.417,43615.473,33207.207,4.75,0.3,23.0,12.57,10.823973
2025-03-17 05:00:00+00:00,11.517,8.417,43611.23,29865.574,1.3,2.9,10.0,13.29,9.531505
2025-03-18 05:00:00+00:00,12.617,9.167,43607.01,24395.477,9.25,4.0,30.0,14.41,11.792404
2025-03-19 05:00:00+00:00,11.667,8.767,43602.812,20268.62,7.95,4.7,10.0,10.8,12.144331
2025-03-20 05:00:00+00:00,10.567,8.517,43598.64,12755.064,7.35,3.3999999,35.0,8.3,8.699793
2025-03-21 05:00:00+00:00,11.367,8.367,43594.492,26670.838,7.5,0.0,10.0,11.08,10.495713
2025-03-22 05:00:00+00:00,10.817,8.017,43590.38,9642.877,1.3,1.6,40.0,5.92,12.144331
2025-03-23 05:00:00+00:00,10.517,8.017,43586.293,11910.899,4.25,1.2,15.0,6.72,11.252519
2025-03-24 05:00:00+00:00,12.067,7.5670004,43582.246,39338.71,7.55,0.0,5.0,15.23,11.165805
2025-03-25 05:00:00+00:00,11.967,7.967,43578.23,38390.715,8.7,3.0,5.0,13.48,11.090103
2025-03-26 05:00:00+00:00,11.167,8.617,43574.258,13385.705,7.05,0.4,10.0,11.46,9.826088
2025-03-27 05:00:00+00:00,10.967,8.467,43570.332,15748.499,2.25,0.3,30.0,10.82,9.028754
2025-03-28 05:00:00+00:00,12.117,9.217,43566.438,22230.74,3.85,1.0,30.0,13.2,11.525623
2025-03-29 05:00:00+00:00,11.617,8.717,43562.555,28034.008,8.05,1.3000001,45.0,11.49,11.525623
2025-03-30 05:00:00+00:00,12.567,8.917,43558.684,15358.678,5.55,11.299999,55.0,11.2,11.043261
2025-03-31 05:00:00+00:00,12.117,9.267,43554.82,15930.094,7.1,10.1,73.0,10.14,10.30883
2025-04-01 05:00:00+00:00,11.667,8.817,43550.977,17695.773,2.55,7.3,40.0,10.66,11.525623
2025-04-02 05:00:00+00:00,11.217,8.017,43547.15,27606.963,1.1,1.6000001,23.0,11.06,10.594036
2025-04-03 05:00:00+00:00,11.617,8.617,43543.34,30402.768,7.35,1.0,13.0,12.76,9.826088
2025-04-04 05:00:00+00:00,11.567,8.617,43539.555,16397.164,6.9,0.5,40.0,10.83,10.308831
2025-04-05 05:00:00+00:00,10.867,7.967,43535.793,13127.778,9.45,2.5,18.0,7.76,11.090103
2025-04-06 05:00:00+00:00,10.267,8.017,43532.066,4377.918,2.95,2.6,33.0,7.33,9.360001
2025-04-07 05:00:00+00:00,12.117,8.217,43528.36,34558.13,6.0,0.1,3.0,14.58,11.269782
2025-04-08 05:00:00+00:00,11.817,8.467,43524.69,16559.438,5.4,6.2999997,20.0,10.84,12.397806
2025-04-09 05:00:00+00:00,11.517,8.267,43521.055,31651.154,2.6,0.70000005,13.0,11.83,10.041354
2025-04-10 05:00:00+00:00,12.317,9.267,43517.457,28810.256,7.65,5.7999997,65.0,14.2,11.659777
